Score,Text
1,not specific product ordered actually selected organic product product make dog sick symptom warned fda jerky product imported china label not say product made lead vet conclude china would not use would check product maker
1,watch price buy grocery store less ive ordering amazon 2 year not sure pricey right
1,terrible no flavor crunchy exterior im getting money back embarrassing truffle strong musky mushroom flavor honestly taste nothing
1,buy kcups amazon regularly jet fuel cup not goodi would stay green mountian brand name brand
1,sauce strange tasting lot spicei going use base pizza sauce not even huge amount sugar honey could save sauce also start watery not good value moneyi never buy tomato sauce
1,product arrived noticed said label packed honeytreehoney no information produced emailed honeytreehoney asking supply information got no response care food come u china etcyou may not want buy wont reorder im not sure ill use eitherthe one star rating simply indication dissatisfaction information gap not tastequality molasses
1,tried yesterday first time tasted ok begin awful chemically aftertaste assume artificial sweetener took couple hour get gross taste back throat completely not worth
1,live area large arab jewish population wanted halvah bought anywhere enjoyed experience completely unprepared product product completely tasteless texture bad dry sand wonder supposed sort low fat diabetic version well isnt promoted recommend completely avoiding
1,praline received company least 23 month past expiration date stank taste yes taste old moldy cheese balled sock aftertaste company contacted suggested return praline cost refused refund poor customer service top awful product search another brand interested praline
1,cat not interested brand others betteri would brand seamed old product dont buy
1,disappointed opened first cookie ordered amazon although still eating stale ordered directly nanas cooky fresh falling apart aroma delicious
1,favorite gum past year lately pack ive bought dissapointing gum become rubbery loses flavor much quicker past ive since switched strawberry berry flavor like much better flavor really good stay soft
1,sort taste like mac cheese certainly tell chef boyardee made hint tomato sauce think ruining peopleincluding adding salt pepper helpsa little would go kraft make believe u adding water well well well worth effort tasting stuff
1,bewarei opened bag tried one spit tasted like sewage smelled bag odor horrible wondering flood would not recommend
1,milk first made good tryed putting pichur fridge within 12 hour souredi felt cheatedi would not recomend one buy productit definatly issue
1,item look good picture doesnt even look closer description no tray ugly plastic wrapped package disappointed want return not buy reseller
1,worst protein product ever impossible get 2 chip turn cement right away teeth stay away better vile protein powder instead product
1,coffee arrived fast went shake cup big hard ball like guess old almost expiredthis item non returnable money dont buy seller
1,wife agree curry salty lack depth flavor get pataks curry
1,doesnt smell taste like real traditional earl gray horrible taste guess people love never real thing way get england personally find tea company bad im not american different taste
1,bunny graham taste terrible really hoped kid would love organic couldnt even eat threw away taste like cardboard also smell like cardboard dont know everyone else trying review positive terrible
1,warning product contains nutrisweet may others allergic dont say amazon website careful
1,dont fooled name not real willy wonka runtsand horrible tasting not worth itwe threw bag kid didnt even like waste
1,like taste dressing realized contains additive mono sodium gluconate chemical give migraine difficult tolerate sorry say no longer purchase dressing unless remove flavor enhancer
1,toothpick sort waxy plastic wood sliver taste like soaked formaldehyde threw away return shipping cost toothpick
1,drink green tea every day bought numerous brand year worse bunch almost undrinkable imho even wife usually drink green tea occasion wont touch bottled green tea id stick brand like ito en honest tea steaz etc dont waste money stuff
1,great hot sauce false advertising one bottle sent theyll charge 10 shipping it20 per 5 oz hot sauce totally absurd notice still havent changed description
1,fond yogi egyptian licorice tea visiting sister couldnt find grocery store picked lemon ginger ingredient including black pepper tried 3 time cant drink taste like someone ground pepper tea
1,disapointed product packed oil heavy box nor description line told packed oil tasted fishy
1,bought david sunflower seed thought getting already shelled seed butthey shell small shelled little meati would never buy guess need chew shell isthe product bought amazon not satisfactory peanutsi ordered great
1,bought one trader joes try brand especially picture front label looking delish temptingi get home try soup thought tasted awful like miso soup btw didnt cut tasted bland picture deceiving
1,awful package 100 daily salt need plus doesnt taste like anything salty chicken brother noodle
1,got hoping scored real deal make macnut butter well ended throwing away tasted metallic disgusting must rancid maybe could get away cooky something suck
1,sorry product great no reason sold outrageous pricei got thing wegmans 10 dollarsi dont understand price
1,prefer fiberone naturevalley quaker really granola bar perfect storm terrible small not filling not tasty high calorie
1,dark chocolate virtually inedible much sweet barely taste chocolate fact hardly flavor whatsoever save money
1,bought german shepherd destructive chewer within 10 minute hed popped eaten treat proceeded tear ball little bit dog like destroy toy wouldnt recommend definitely not everlasting durable way expensive 10 minute enjoyment
